Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Clara Immerwahr;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;3123464;800000;FFW;;SWR,ORF;90;2013;"Clara Immerwahr (1870­1915) ist die erste Frau, die in Mitteleuropa Naturwissenschaften studieren durfte. Mit ihrem Ehemann Fritz Haber, einem Chemiker, will sie zum Wohl der Menschheit forschen. Doch die Konventionen ihrer Zeit stehen gegen ihr Glück. Fritz Haber macht Karriere und verschweigt dabei die Mitarbeit von Clara. Seine Erfindungen ermöglichen dem Deutschen Reich den Einsatz von Giftgas im Ersten Weltkrieg. Clara als Pazifistin ist entsetzt. Als Haber im Mai 1915 den ersten erfolgreichen Giftgaseinsatz an der Westfront mit zigtausenden Toten und Verletzten mit einer großen Party feiert, erschießt Clara sich mit seiner Offizierspistole.";"Clara Immerwahr (1870­1915) is the first woman in central Europe to be allowed to attend university. Together with her chemist husband Fritz Haber she wishes to do research to benefit humanity. But the conventions of her day oppose her goal. Fritz Haber pursues a successful career while keeping Clara's collaboration a secret. His discoveries allow the German Reich to deploy poison gas in WWI; Clara, a pacifist, is horrified. When in May 1915 Haber throws a big party to celebrate the successful use of poison gas on the Western Front, causing thousands of deaths and injuries, Clara commits suicide with Haber's officer's pistol."
Clarissas Geheimnis;EPO ­ Filmproduktionsgesellschaft m.b.H.;3010133;500000;CINESTYRIA;Zoela Film GmbH;ARD,ORF;88;2010;"Die achtzehnjährige Stella Wagner ist bei ihrer Mutter Clara in der südafrikanischen Savanne aufgewachsen. Als Clara bei einem Autounfall ums Leben kommt, findet Stella in ihrem Nachlass erstaunliche Informationen: Alles, was Clara ihr über ihre Familie erzählt hatte, war gelogen. Stella reist nach Europa in die Heimat ihrer Mutter ­ in der Hoffnung, die Wahrheit über ihre Familie und vor allem über ihren leiblichen Vater zu erfahren. Als sie schließlich in Österreich auf dem luxuriösen Anwesen ihrer Familie eintrifft, traut sie ihren Augen nicht ...";"Eighteen-year-old Stella Wagner grew up with her mother Clara on the South African savannah. After Clara's death in a car accident, Stella makes an astonishing discovery among her mother's belongings: everything that Clara had told her about her family was a lie. Stella travels to her mother's home country in Europe, hoping to find out the truth about her family ­ and more than anything about her real father. Finally arriving in Austria at her family's luxurious country estate, she can hardly believe what she sees..."
Das Mädchen auf dem Meeresgrund;EPO ­ Filmproduktionsgesellschaft m.b.H.;3732278;450000;Filmstiftung NRW,Medienboard Berlin-Brandenburg,FFW;Producers at work GmbH;ZDF,ORF;88;2010;"Die Lebensgeschichte von Lotte und Hans Hass ist nicht nur die Geschichte zweier Tauchpioniere, es ist eine große Liebesgeschichte, die bis heute ­ 60 Jahre später ­ immer noch berührt. Nach der Biografie ""Das Mädchen auf dem Meeresgrund"" erzählt der Film ein Abenteuer, das der Menschheit die Faszination der Unterwasserwelt eröffnet und den Traum vom Leben im Einklang mit einer unberührten Natur näherbringt. Dafür begaben sich Lotte und Hans Hass auf lebensgefährliche Expeditionen in das damals unbekannte Rote Meer, um erstmals das Verhalten der Haie zu erforschen.";"Lotte and Hans Hass share a life story that is at once the tale of two diving pioneers and an epic love story, one that after 60 years still touches hearts today. Based on the biography ""The Girl on the Ocean Floor"", the film relates an adventure that reveals the fascination of the undersea world, invoking the dream of living in harmony with nature in its untouched state. Lotte and Hans Hass embark on dangerous expeditions to the then unfamiliar Red Sea, to observe shark behaviour for the first time ever."
Das Vermächtnis der Wanderhure;Aichholzer Filmproduktion GmbH;5772242;682630;FFF Bayern,Filmboard Berlin-Brandenburg,Media plus,Land Salzburg;TV 60 Filmproduktion GmbH,Wilma Film S.R.O.;SAT.1,ORF;120;2012;"Die Wanderhure Marie erwartet ihr zweites Kind, als ihr Mann Michel vom König zum Ritter geschlagen wird. Michels Treueschwur verpflichtet ihn, dem König in den Krieg gegen die Tataren zu folgen. Schweren Gewissens lässt er Marie trotz der nahenden Geburt allein. Die machtgierige Mätresse des Königs schmiedet indessen eine teuflische Intrige: Hulda entführt Marie und nimmt ihren neugeborenen Sohn, um ihn dem König als ihrer eigenes Kind und damit rechtmäßigen Thronerben zu präsentieren. Hulda hat sich längst mit dem Feind verbündet. Mit Hilfe des Ziehsohns des Tatarenfürsten will sie den König vom Thron stürzen und fortan als Königsmutter herrschen. Maries einziger Weg, ihren Sohn jemals wiederzusehen, führt über die Gunst ihrer Feinde.";"As the former travelling whore Marie awaits her second child, her husband Michel is knighted by the king. Bound by his oath of allegiance, Michel follows the king in battle against the Tatars. With a heavy heart he leaves Marie to herself despite the impending birth. In his absence, the king's mistress, hungry for power, hatches a diabolical intrigue: Hulda kidnaps Marie and takes away her new-born son, so as to present him to the king as her own child and the legitimate heir to the throne. Hulda has long since allied with the enemy. With the aid of the Tatar prince's adopted son, Hulda plans to topple the king from the throne and reign henceforth as queen mother. Marie's only hope of ever seeing her son again is to gain favour with her enemies."
Das Wunder von Kärnten;Graf Filmproduktion GmbH;1656647;330000;Kärnten Werbung;Rowboat Film- und Fernsehproduktion GmbH;ZDF,ORF;90;2010;"Ein Medizin-Drama, basierend auf einer wahren Begebenheit: 1998 wird die dreijährige Katharina mit Herz- und Kreislaufstillstand ins Landeskrankenhaus Klagenfurt eingeliefert ­ ertrunken im Teich am elterlichen Bauernhof. Doch der diensthabende Arzt, Herzchirurg Markus Höchstmann, nimmt den aussichtslos scheinenden Kampf um die Wiederbelebung des kleinen Mädchens auf. Seine Gegner: mangelhafte technische Ausstattung, skeptische Kollegen und die gnadenlos verrinnende Zeit. Auf seiner Seite: Der Mut der Verzweiflung und die zähe Ausdauer eines Mannes, der in seiner Freizeit Ultramarathons läuft.";"A medical drama based on a true story: after almost drowning in a pond at her parents' farm in 1998, three-year-old Katharina is admitted to Klagenfurt Hospital and diagnosed with cardiac and circulatory arrest. Against all odds, the heart surgeon on duty, Markus Höchstmann, takes on the battle to resuscitate the little girl. The problems he faces are lack of proper equipment, sceptical fellow-doctors and time, as it relentlessly slips away. Yet in his favour are the courage that arises from despair and the endurance he has built up through running ultramarathons."
Der Chinese;Lotus-Film Gesellschaft m.b.H;6836069;1085000;MEDIA plus,Land Niederösterreich;Yellow Bird Pictures GmbH;ARD,ORF,MTV;2x88;2010;"An einem frostigen Tag im Jänner 2006 macht die Polizei in Schweden eine grausige Entdeckung: In einem Dorf wurden 19 Menschen auf bestialische Weise zerstückelt. Die Polizei vermutet die Tat eines Wahnsinnigen. Als Richterin Roslin von der Tat hört, wird ihr sofort klar, dass ihre Eltern unter den Mordopfern sind. Mehr noch: alle Ermordeten waren weitläufig mit ihr verwandt. Sie beginnt auf eigene Faust zu recherchieren. Ihre Suche führt sie nach Kanton, wo sie auf skrupellose Machenschaften der Führungselite stößt, und auf Morde, begangen vor mehr als 160 Jahren, die einen Zusammenhang zwischen dem psychopathischen Massenmörder und ihrer Familie zu bilden scheinen.";"On a frosty day in January 2006 the Swedish police make a gruesome discovery: nineteen villagers have been brutally mutilated. The police suspect it to be the work of a psychopath. The judge Roslin, hearing of the crime, instantly realises that her parents are among the murder victims. What is more, all of the dead were somehow related to her. She begins investigating the case on her own. Her inquiry takes her to Canton, where she stumbles upon an unscrupulous intrigue among elite circles ­ and upon a series of murders one hundred and sixty years earlier that seem somehow connected to the psychopathic mass murderer and her family."
Der Clan ­ Die Geschichte der Familie Wagner;MONA Film Produktion GmbH;4280502;500000;FFF Bayern,Land Oberösterreich;Moovie ­ the art of entertainment GmbH;ZDF,ORF;110;2013;"Der Film zeichnet zum ersten Mal im Fernsehen ein eingehendes Bild der Familie Wagner zwischen 1883 und 1930, einer für den Mythos Richard Wagner und seine Musik entscheidenden Zeit. Cosima Wagner steht im Mittelpunkt des Films: Wie gelang es ihr, nach dem Tod des Komponisten die Macht in Bayreuth an sich zu reißen? Warum stürzte sie ihre Kinder nach und nach ins Unglück? In dem spannenden Familiendrama spiegelt sich die deutsche Geschichte wider: Die bürgerliche Gesellschaft in der Zeit um den Ersten Weltkrieg und auf dem Weg zu Hitlers Machtergreifung wird dabei über die gezeigten Figuren greifbar.";"For the first time in television history, the film depicts in detail the Wagner family in the years 1883 to 1930, a crucial period for the myth of Richard Wagner and his music. The film focuses on Cosima Wagner: how did she succeed in taking over the reins of power in Bayreuth after the composer's death? Why did she take actions ultimately leading to her children's unhappiness? The tense family drama reflects a period of German history as related by the protagonists and depicts realistic scenes of bourgeois society before and after WWI and concurrently the way to Hitler's bid for power."
Der Eisenhans;Tellux Film GmbH;1726800;300000;Land Niederösterreich,Land Salzburg;PROVOBIS Gesellschaft für Film und Fernsehen GmbH;ZDF;80;2011;"Der 8-jährige Prinz Johannes lässt trotz Verbot seines Vaters den vom Schwarzen Ritter gefangen genommenen wilden Eisenhans frei. Eisenhans entführt Johannes in den Wald und lehrt ihn, in der Natur zu leben. Als es dem Prinzen nicht gelingt, den Goldbrunnen vor Verunreinigung zu schützen und seine Haare durch die Berührung mit dem Wasser gold werden, schickt ihn Eisenhans in die Welt hinaus. Sein Weg führt ihn an einen Königshof. Dort arbeitet der Prinz als Küchenjunge und Gärtner und verliebt sich in die Prinzessin. Als er mit Hilfe von Eisenhans den Schwarzen Ritter, der auch dieses Königreich bedroht, bezwingt, darf er die Prinzessin heiraten. Auf der Hochzeit gibt es auch ein Wiedersehen von Johannes und seinen Eltern.";"Ignoring his father's warnings, eight-year-old Prince Johannes sets free the wild Eisenhans, who has been held prisoner by the Black Knight. Eisenhans lures Johannes into the forest and teaches him to survive in the wilds. When the prince fails to keep the Golden Well from becoming contaminated and his hair turns to gold from touching the water, Eisenhans sends the boy into the outside world. His journey leads him to a king's court. Finding work there as a kitchen boy and gardener, the prince falls in love with the princess. When the Black Knight threatens the kingdom, Johannes succeeds in overcoming him with the aid of Eisenhans, and is rewarded with the hand of the princess. At the wedding Johannes is reunited with his parents."
Der Kardinal;Tellux Film GmbH;905756;181151;Land Niederösterreich,FFW,Land Oberösterreich,BmUKK;;ORF;60;2010;"Brückenbauer, moralisches Gewissen des Landes, Wegbereiter der Ökumene und des interreligiösen Dialogs ­ das sind nur einige der Attribute, die Kardinal Franz König (1905­2004) zugeschrieben werden. Der langjährige Erzbischof von Wien war eine der prägendsten Persönlichkeiten Österreichs im 20. Jahrhundert. Das Wirken des ""roten Kardinals"", wie er von manchen abschätzig, von anderen wieder respektvoll genannt wurde, steht für die Annäherung der katholischen Kirche an die österreichische Sozialdemokratie genauso wie für den Dialog mit den kommunistischen Staaten in Osteuropa.";"Bridge-builder, moral conscience of the nation, pioneer of the ecumenical movement and interreligious dialogue ­ these are just a few of the epithets given to Cardinal Franz König (1905­2004). The long-term Archbishop of Vienna was one of the most influential personalities in twentieth-century Austria. The era of the churchman referred to ­ sometimes derogatorily, sometimes respectfully ­ as the ""Red Cardinal"" is as much a synonym for rapprochement of the Catholic church with the Social-Democratic movement in Austria as it is for dialogue with communist countries in Eastern Europe."
Der Mann mit dem Fagott;Graf Filmproduktion GmbH;10769706;1200000;Filmstiftung NRW,Tschechischer Filmfonds,FFF Bayern,Land Kärnten Kultur,FFW,Media i2i;ZIEGLER FILM GmbH & Co KG;ARD,ORF;2x100;2010;"Vor dem Hintergrund des bewegten 20. Jahrhunderts erzählt ""Der Mann mit dem Fagott"" die beeindruckende Musikerkarriere und die aufregende Familiengeschichte des bekannten österreichischen Sängers Udo Jürgens, die u.a. im reichen Moskau der Zarenzeit, im Österreich des 2. Weltkriegs und der Nachkriegszeit sowie im brodelnden New York der 60er-Jahre spielt. Die geheimnisvolle Bronze eines Fagottspielers ist Schicksalsbringer und Maskottchen und begleitet die Familie Bockelmann durch drei Generationen.";"Against the backdrop of the turbulent twentieth century, ""The Man with the Bassoon"" relates the fascinating musical career and unusual family history of the popular Austrian singer Udo Jürgens. including scenes set in luxurious Czarist Moscow, Austria during and after WWII, and New York City as it simmered in the 1960s. Serving as a good-luck charm and mascot, the mysterious bronze statuette of a bassoonist accompanies the Bockelmann family for three generations."
Der Meineidbauer;LISA Film produktion GmbH;2048257;400000;Cine Tirol;;ARD,ORF;90;2011;"Jahrelang hat Franz auf dem Hof seines Stiefbruders Karl gearbeitet. Als sein Bruder tödlich verunglückt, öffnet Franz heimlich dessen Testament. Erben soll Karls Verlobte Anna und deren Tochter Marie. Franz vernichtet das Testament und schwört vor Gericht einen Meineid, der ihm den Hof sichert. Anna und ihre Tochter müssen den Hof verlassen. Anna gelingt es, für sich und ihre Tochter ein neues Leben aufzubauen. Als Marie ein Praktikum als Kellnerin im Ort ihrer Kindheit annimmt, reist ihr Anna hinterher, um sie zurückzuholen. Als Anna schließlich herausfindet, dass Franz` Knecht Ignaz über den Meineid Bescheid weiß, fordert sie erneut ihr Recht. Eine Auseinandersetzung zwischen Franz und Anna endet letztlich in einer Tragödie.";"For years, Franz has been working on his stepbrother's Karl farm. His brother is killed unexpectedly, and Franz secretly opens his will. Karl's fiancée Anna and her daughter Marie are named as heirs. Destroying the will, Franz commits perjury in order to take over the farm. Forced to leave the farm, Anna succeeds in starting a new life for herself and her daughter elsewhere. When Marie later returns to her old home town to train as a waitress, Anna follows to bring her back. There Franz's farmhand Ignaz tells Anna about Franz's lie under oath, and Anna demands that justice be done. Franz and Anna subsequently become entangled in a conflict that ends in tragedy."
Der Winzerkrieg;Wega-Filmproduktionsgesellschaft m.b.H.;1636921;325418;CineStyria;Ziegler Film GmbH & CO KG;ARD;88;2009;"Ein schwelender Familienstreit zwischen den Winzerfamilien Fink und Habicht bricht neu aus. Großwinzer Josef Fink behauptet, der Weinberg der Habichts sei ursprünglich im Besitz seiner Familie gewesen und schaltet einen Anwalt ein. Winzerin Franziska Habicht, die das traditionsreiche Familienweingut erfolgreich führt, ist empört. Doch die Kinder der verfeindeten Eltern entdecken ihr Herz füreinander. Auf der Suche nach Beweisen, wer der rechtmäßige Besitzer des Weinberges sei, kommt Franziska einem alten Familiengeheimnis auf die Spur, das für ein überraschendes Happy End sorgt.";"A smouldering dispute between the wine-growing Fink and Habicht families breaks out again. Major wine producer Josef Fink claims that the hill on which the vineyard of the Habichts is located originally belonged to his family, and engages a solicitor. Franziska Habicht, who successfully runs the family's wine-growing business, is indignant. However, the children of the warring parents discover that they are rather fond of each other. In the search for proof that the Habichts are the rightful owners of the hill, Franziska discovers an old family secret, which leads to a surprising happy ending of the story."
Die Abstauber;MR-Film Kurt Mrkwicka Gesellschaft m.b.H.;1815011;349724;FFW;;SWR,ORF;90;2010;"Chris ist ein junger, erfolgreicher Investment-Banker. Doch sein pedantisches, karriereorientiertes Leben ändert sich schlagartig, als er durch eine Betrugsmachenschaft eines Konkurrenten unter Verdacht gerät, hohe Summen seiner K lienten abgezweigt zu haben. Seine Karriere ist am Ende und Chris unternimmt zwei Selbstmordversuche. Da taucht Carmen, eine junge Putzfrau, auf, um sein Büro zu putzen. Sie nimmt Chris zu sich nach Hause, wo sie recht chaotisch mit ihren beiden Kindern lebt. Sie hilft ihm aus der Krise und überführt gemeinsam mit ihm den betrügerischen Kollegen, der Chris hineingelegt hat.";"Chris is a successful young investment banker. Yet his life, meticulously organised around his career, takes a drastic turn when, as a result of a fraud conspiracy by a rival, Chris is suspected of skimming off large sums of money from one of his clients. His career seemingly finished, Chris twice attempts suicide. But then Carmen enters his life. The young cleaning woman first attends to Chris' office, then invites him to her place, where she lives a chaotic life with her two children. She helps him get over his crisis and together they set about proving the guilt of the fraudulent rival who set Chris up."
