Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Albert Schweitzer;MISCHIEF FILMS ­ VEREIN ZUR FÖRDERUNG DES DOKUMENTARFILMS KEG;523836;60000;FFW,MEDIA,Region Alsace,Communaturé Urbaine de Strasbourg;NFP neue filmproduktion GmbH,Seppia;SWR,YLE,SF 1,France 3;52/90;2009;"Der Friedensnobelpreisträger Albert Schweitzer war Universalgenie, Theologe, Philosoph, Musiker, Arzt und Entwicklungshelfer sowie einer der Ersten, der sich gegen Nuklearwaffen aussprach. Ziel des Films ist es, eine A ntwort auf die Frage zu finden: Welche Relevanz hat Schweitzer für die Welt im 21. Jahrhundert? Sein Konzept der ""Ehrfurcht vor dem Leben"", das er in seinem Urwald-Hospital im afrikanischen Lambaréné verwirklichte, könnte angesichts der Klimaerwärmung, einer immer stärker werdenden Sinnsuche und der nicht enden wollenden Kriege aktueller sein denn je.";"Albert Schweitzer, winner of the Nobel Peace Prize, was a universal genius, theologian, philosopher, musician, physician and missionary. He was also one of the first to condemn nuclear weapons. This documentary aims to find an answer to the question of what Schweitzer's impact is on the world in the 21st century. Looking at current attitudes and developments such as global warming, our permanent search for meaning and never ending wars, his ""reverence for life"" doctrine which he put into practice in his jungle hospital in Lambaréné in Africa might be more relevant than ever before."
Allentsteig;Nikolaus Geyrhalter Filmproduktion GmbH;301349;60000;FFW,Land Niederösterreich;;ORF;80;2009;"""Allentsteig"" ist das Portrait eines militärisch abgeriegelten Gebietes und dessen Nutzung, ein Essay über einen unbekannten, fast vergessenen Flecken Land in Mitteleuropa. Zu Wort kommen Menschen, die mit dem Truppenübungsplatz verbunden sind: Angehörige des österreichischen Bundesheeres, ehemalige Anrainer und die Bevölkerung des Umlandes. Ein Jahr lang, durch die vier Jahreszeiten mit Hitze, Regen und Schnee, begleitet der Film seine Protagonisten durch die Anlage und beschreibt den Alltag in diesem inszenierten Ausnahmezustand eines Sperrgebietes.";"""Allentsteig"" is a portrait of a cordoned-off military area and its use, an essay about a remote and almost forgotten place right in the middle of Europe. In this documentary, people with different connections to this military training ground are interviewed: members of the Austrian Armed Forces, former inhabitants of the now cordoned-off military zone and people living in the area nearby today. The protagonists are accompanied over the period of one year, through rain, shine and snow, rendering a striking picture of daily life in this enclosed microcosm where a state of emergency is the order of the day."
Alpenklöster;Tellux Film GmbH;673939;105000;Cinestyria,Land Vorarlberg;;ORF/3sat,BR;6x45;2009;"In jedem Film der Reihe ""Alpenklöster"" steht ein Kloster stellvertretend für das jeweilige Alpenland im Mittelpunkt, um geschichtliche und machtpolitische Ursprünge von Klostergründungen im Alpenraum darzustellen. Kulturelle und spirituelle Gemeinsamkeiten und Unterschiede innerhalb des alpenländ ischen Europas werden aufgezeigt. Auch das heutige Leben von Mönchen, Nonnen, Pilgern und Gläubigen angesichts harscher Bedingungen durch Natur und W etter sowie das Leben im Kloster im Spannungsfeld zwischen k ontemplativem Rückzug und karitativer bzw. wirtschaftlicher Öffentlichkeit werden beleuchtet.";"Each of the episodes this series features one abbey in each of the individual countries in the Alps with the aim of shedding light on the reasons, both from a historical and a power-political point of view, for their foundation. Cultural and spiritual similarities and differences are identified and elaborated upon. The contemporary lives of monks, nuns, pilgrims and believers who are c onfronted with the harsh conditions of the surrounding nature and the weather in the Alps are shown in this series, rendering a picture of conventual life between the conflicting priorities of inward contemplative reclusiveness and outward philantropic and economic activities."
André Hellers Menschenkinder;Dor Film-Produktionsgesellschaft m.b.H.;159810;31000;FFW;;ORF;6x60;2012;"André Heller porträtiert einzigartige Menschen unterschiedlicher Herkunft und Profession, mit unterschiedlichen Leidenschaften, Begabungen und Schicksalen. Menschen, die in ihrem Leben ­ auch jenseits herkömmlicher Erfolgskriterien ­ Einzigartiges geleistet haben und deren Glanz nicht an der Oberfläche erscheint, sondern erst im Sprechen und Erinnern zu Tage tritt. In den Gesprächen, die Heller ohne Seitenblicke-Gier führt, begegnet der Zuschauer Menschen, die er zuvor nicht kannte, auch wenn er sie zu kennen glaubte. Durch die einfühlsame Gesprächsführung Hellers offenbaren die Menschen mehr von sich und lassen den Zuschauer damit nicht nur an einer besonderen Biografie teilhaben, sondern ermöglichen auch tiefe Einblicke in divergierende Lebenswelten.";"André Heller portrays unique people from different backgrounds and p rofessions who pursue varying passions and have varying talents and life-stories. These individuals have achieved unique accomplishments in their lives, even beyond conventional measures of success, and their lustre reveals itself gradually from beneath the surface, as they speak and share memories. In his interviews, Heller remains aloof from any gossip-mongering and the audience encounters people in a way they never knew them before ­ even if they may have thought they did. Heller's empathetic interviewing style prompts his guests to reveal more of themselves, so that the audience not only shares in unique life-stories but is even treated to deep insights into diverse life-worlds."
Arik Brauer. Eine Jugend in Wien;AMOUR FOU Filmproduktion GmbH;116814;32620;FFW,Land Niederösterreich;;ORF;53;2012;"Der Künstler Arik Brauer, Mitbegründer der ""Wiener Schule des Phantastischen Realismus"", erzählt von seiner Kindheit und Jugend in Wien. Geboren im Jahr 1929 und aufgewachsen im Arbeiterbezirk Ottakring, überlebte er als jüdisches Kind die NS-Zeit, wurde nach Kriegsende Kommunist, Bergsteiger und Sänger, bevor er als Kunststudent weite Reisen mit dem Rad durch Europa und Afrika unternahm. Brauers differenzierter, von Nachdenklichkeit und Witz getragener Blick auf die unterschiedlichen Typen des Wiener Arbeiterbezirks prägen diesen Film ebenso wie die Überlebensstrategien eines auf sich gestellten jüdischen Kindes nach dem Anschluss an das Deutsche Reich und die Erinnerungen an die Lehr- und Wanderjahre in der Nachkriegszeit.";"Artist Arik Brauer, co-founder of the Vienna School of Fantastic Realism, relates his childhood and youth in Vienna. Born in 1929 and raised in the working-class district of Ottakring, as a Jewish child he survived the Nazi years and after the war became a communist, mountain climber and singer. Later, as an art student, he travelled widely through Europe and Africa by bicycle. The film stands out both due to Brauer's thoughtful, humorous portrayals of the unique characters populating his Viennese working-class district, as well as for his account of the survival strategy devised by a Jewish child following Austria's annexation to the German Reich and his memories of his post-war apprentice and years of travel as a journeyman."
Arlberg ­ Das verborgene Paradies;EPO ­ Filmproduktionsgesellschaft m.b.H.;461206;70000;Arlberg Marketing,Cine Tirol,Vorarlberg Tourismus,VAM;;ORF,BR;45/52;2009;"Der Arlberg ist der Inbegriff winterlicher Idylle ­ und die Wiege des alpinen Skilaufs. Doch das berühmte Skigebiet, das Tirol und Vorarlberg verbindet, ist noch viel mehr. Im Winter unter meterhohem Schnee versteckt, gibt der Berg erst im traumhaften Bergsommer seine Geheimnisse preis: eine atemberaubende Orchideenflora, große Gruppen von Stein- und Rotwild und eine nahezu unübersehbare Anzahl von Murmeltieren. Im Winter sind weite Teile des Gebietes für Menschen unzugänglich; im Sommer gehören den Erholungssuchenden die Wanderwege, den Tieren aber der Rest der Landschaft.";"The Arlberg region is an epitome of winter idyll and the cradle of alpine skiing. Yet the world-famous skiing area connecting the Austrian provinces of Tyrol and Vorarlberg has even more in store. Hidden under piles of snow in winter, the mountain unveils its amazing secrets only in the beautiful summers: a gorgeous orchid flora, large groups of Alpine ibex and red deer and virtually omnipresent groundhogs. In the winter season, large areas of the Alpine Arlberg region are inaccessible for humans. In the summer time, the paths and trails belong to people in search of a relaxing holiday, while the breathtaking landscape around them is reserved for the animals."
ATV Kosmos;"""Power of Earth Production"" TV & Film Produktions Ges.m.b.H.";943410;233578;;;ATV;16x48;2012;"Natur- und Kultur-Highlights innerhalb rot-weiß-roter Grenzen ­ von Vorarlberg bis ins Burgenland. Das spezielle Konzept: Die Drehregionen werden bewusst in der Nähe populärer Locations gewählt. Umso größer ist der ""Aha-Effekt"", wenn es gerade an ""bekannten Urlaubsorten"" seltene Tierarten und Kulturschätze zu entdecken gibt. Zusätzlicher Anreiz: Alle Locations sind für die Zuseher ""physisch erreichbar"". Man kann die jeweiligen Handlungsorte an See, Fluss, Au usw. wirklich aufsuchen. Die Option des ""realen Nacherlebens"" wird im hohen Maße geschätzt und auch genutzt. Denn für die meisten Seher von Dokus bleiben die Schauplätze ­ etwa die Regenwälder Neuguineas oder die Tiefen der Sahara ­ ohnedies unerreichbar.";"Natural and cultural highlights within Austria's borders ­ from Vorarlberg to Burgenland. The special concept is the deliberate choice of shoot sites that are close to popular locations. The `wow' effect is all the greater when rare species of animals and cultural treasures are discovered near well-known holiday areas. Another incentive is that viewers can `physically' reach every location. Anybody can visit the locations, be it a lake, river or wetland. Many appreciate, and also use, the option of `re-enacting' the storyline ­ in contrast to most documentaries, such as New Guinea's tropical rainforest or the heart of the Sahara, where viewers are not likely to ever reach the places shown."
Auf den Schienen des Doppeladlers;Gernot Stadler;199784;39900;Land Salzburg,Land Steiermark,Land Oberösterreich,Land Niederösterreich,Land Kärnten,Stadt Klagenfurt;;ORF/3sat;2x52;2013;"Mehr als 170 Jahre nach der Eröffnung des ersten Streckenabschnittes auf österreichischem Boden hat die Eisenbahn nichts von ihrer Faszination verloren und ist noch immer ein wesentlicher Faktor für Mobilität. Für die Menschen im Österreich der Donaumonarchie wurde die Eisenbahn durch ihre grenzüberschreitende und völkerverbindende Funktion auch zu einem Symbol für Freiheit und Einheit. Durch die EU-Erweiterung sind manche der ehemaligen Kronländer wieder näher in unser Bewusstsein gerückt, andere verblieben noch in weiter Ferne. Manchmal sind es nur noch verblassende Erinnerungen, die dieses ehemalige Riesenreich noch verbinden ­ und ein Streckennetz, das bis heute bedient wird.";"More than 170 years after the first section of track was put into operation on Austrian soil, the railway still exerts an unbroken fascination and continues to be a central factor for mobility. Thanks to its role in overcoming borders and linking nations, the railway became a symbol of freedom and unity for the peoples of the Austro-Hungarian monarchy along the Danube. In the wake of EU expansion, we have again become more closely aware of several of the former crown territories while others continue to appear remote. In some cases nothing but fading memories remain as ties to this vast former empire ­ and to a railway network that is still in service to this very day."
Auf der Suche nach Mahler;Felix Breisach Medienwerkstatt GmbH;251377;50275;;;BR/ORF;60;2010;"Der Film begleitet den Sänger Thomas Hampson auf seiner Reise durch das Mahlerjahr. Der amerikanische Bariton hat sich sein künstlerisches Leben lang mit den Liedkompositionen des österreichischen Komponisten Gustav Mahler aufs Engste verbunden gefühlt. Zwei Jubiläen (7. Juli 2010 ­ 150. Geburtstag Mahlers, 18. Mai 2011 ­ 100. Todestag) gaben dem Sänger die Gelegenheit zu einer großen Anzahl von Konzerten, unter anderem auch an jenen Orten, an denen Mahler lebte und wirkte und die für sein Schaffen entscheidend waren.";"The film follows singer Thomas Hampson on a journey through the Mahler jubilee year. Throughout his artistic career, the American baritone has sensed a close affinity with the vocal compositions stemming from the pen of Austrian composer Gustav Mahler. Two events, Mahler's one hundred and fiftieth birthday on July 7, 2010 and the one hundredth anniversary of his death on May 18, 2011, served as the occasion for a number of concerts by Hampson, in particular at venues associated with Mahler's life and work that played a significant role in his creative oeuvre."
Aufbruch der Frauen;Walter Wehmeyer Filmproduktion;72579;10240;BMUKK,Land Niederösterreich,FFW;;ORF/3sat,Planet TV,Movieurope;30/80;2009;"Die so genannte ""Praterschlacht"", die 1848 in Wien stattfand und bei der durch das Eingreifen der Nationalgarde 18 Menschen den Tod fanden und hunderte verwundet wurden, gilt als Wiege der ""Ersten österreichischen Frauenbewegung"". Der Film widmet sich dem Leben von acht herausragenden Frauengestalten dieser Zeit. Von der Reiseschriftstellerin Ida Pfeiffer über Bertha von Suttner bis hin zur Sozialpolitikerin Adelheid Popp ging es den Frauen um das, was schon die Malerin, Philosophin und Schriftstellerin Rosa Mayreder forderte ­ ""eine vom Geschlecht unabhängige Freiheit der Individualität"".";"The ""Battle of the Prater"", which took place in Vienna in 1848 and where 18 people were killed and hundreds wounded due to intervention by the national guard, is considered to be the starting point of the first Austrian women's movement. This documentary features the lives of eight outstanding women of that time. The women presented, including the travel writer Ida Pfeiffer, Nobel Peace Prize winner Bertha von Suttner and the socialist politician Adelheid Popp, all aspired to something that the famous painter, philosopher and writer Rosa Mayreder had postulated some time before: ""gender-independent individualism and freedom""."
Aufgetischt / 4. Staffel;Satel Film GmbH;485663;108013;Land Niederösterreich,FFW,Cinestyria,Land Oberösterreich,Stadt Graz;;ORF,SWR;6x45;2012;"""Aufgetischt"" ist ein Dokumentationsformat, das die Genießer in den Mittelpunkt stellt und Kochen und Esskultur zum Anlass nimmt, Österreich zu bereisen. Ob Städte oder Täler, Seengebiete oder Bergdörfer, ob das Wiener Servitenviertel oder das Oststeirische Land der Vampire, das Weinviertel oder das oberösterreichische Steyr ­ allen ist eines gemein: Essen und Trinken stiften Identität. Eine Region spiegelt sich in der Sprache der Menschen, in ihrer Musik, in ihrer Architektur wider. Am lustvollsten aber strahlt die Einmaligkeit jeder Gegend ihre urtypische Küche aus. Begleitet werden Wiener Schriftsteller und Künstler, niederösterreichische Bauern und steirische Küchenchefs, verantwortlich für das Lebensgefühl in ihrer Region oder Stadt.";"Aufgetischt (Dinner is Served) is a documentary series catering foremost to gourmets: fine cooking and dining provide a good reason to travel through Austria. Whether the destination is a city, valley, lake or alpine village, a Viennese quarter, eastern Styria's `Vampire Country', Lower Austria's `Wine Quarter' or Steyr in Upper Austria: everywhere the local identity is rooted in food and drink. While a region is reflected in the language, music and the architecture of its inhabitants, the most pleasing expression of each area's uniqueness is its typical cuisine. The series follows Viennese authors and artists, Lower Austrian farmers and Styrian chefs, all of whom share responsibility for the flavour of life in their region or city."
Aufgetischt / 5. Staffel;Satel Film GmbH;675111;152000;FFW,Land Niederösterreich,Land Oberösterreich,Land Salzburg;;ORF;9x45;2013;"Im Rahmen eines außergewöhnlichen Hochglanz-Dokumentationsformats werden die Kulturtechnik Kochen und die Esskultur zum Anlass genommen, österreichische Regionen vorzustellen. Porträtiert werden die Zusammenhänge von Kultur, Tradition, Innovation, Landwirtschaft und Kulinarik ­ also das Lebensgefühl in einer Stadt oder einer Region. ""Aufgetischt"" ist eine sensible Annäherung an eine Region, ihre Menschen und deren Leben. Authentisch, originär und unverwechselbar entsteht das Angebot, sich in ein Stück Österreich zu verlieben ­ oder es einfach zu genießen.";"Featuring an unusual high-gloss format, this documentary presents a window on the regions of Austria through the cultural techniques of cooking and cuisine. The documentary depicts the relationship between culture, tradition, innovation, agriculture and cuisine that constitutes the unique feel of living in a certain town or region. ""Aufgetischt"" approaches with sensitivity individual regions, including their inhabitants and their lifestyle. In an authentic, original and unique manner, viewers are invited to become enamoured with a part of Austria ­ or simply to enjoy it."
Austropop made in Styria;CINEVISION TV & Videoproduktion GmbH & Co KG;99961;19993;Cine Art,Cinestyria;;ORF;50;2012;"Einige der erfolgreichsten Rockbands Österreichs kommen aus oder haben ihre Wurzeln in der Steiermark: STS, EAV, OPUS, Boris Bukowski und viele mehr. Eine Auflistung liest sich wie ein Who is Who der österreichischen Musikbranche. Der Film versucht den Wurzeln dieser sehr erfolgreichen Künstler nachzugehen und entdeckt die Zeit von 1969 bis 1980 wieder, in der die vitale steirische Szene eine frühe Hochblüte erlebte. Mit diesem Hintergrund wird der Erfolg und auch das Scheitern einiger Bands im Laufe der Neuen Deutschen Welle Anfang der 1980er-Jahre nachgezeichnet, bis zu jenem Moment Anfang der 1990er-Jahre, an dem dieses Phänomen in der Populärkultur zu Ende ging.";"Several of Austria's most successful rock bands are from ­ or at least have their roots in ­ Styria. The list includes STS, EAV, OPUS, Boris Bukowski and many others, and is comparable to a Who's Who of the Austrian music industry. In an attempt to trace the roots of these highly successful musicians, the film rediscovers the period between 1969 and 1980 when the thriving Styrian music scene experienced an early bloom. Against this backdrop, the film relates the successes and the failures of several bands during the New German Wave period in the early 1980s, right up to the point at the beginning of the 1990s when this chapter of pop culture finally came to a close."
