Organisation,Sitz,Gesetzliche Grundlage ihrer Errichtung,Zahl der überwiegend als Interessenvertreter tätigen Personen,Bestätigte geschätzte Kosten der Interessenvertretung in ,Jahr,Webseite
Landesgremium des Papier- und Spielwarenhandels,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"3838,7",2014,"https://www.wko.at/content.Node/branchen/b/Papier--und-Spielwarenhandel/Startseite_-_Papier-_und_Spielwarenhandel,_Landesgremium.html"
Fachgruppe des Energiehandels,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4163,67",2014,"https://www.wko.at/content.Node/branchen/t/Energiehandel/Startseite_-_Energiehandel,_Fachgruppe.html"
Landesinnung der Bestatter,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4258,81",2014,https://www.wko.at/content.Node/branchen/k/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
Landesinnung der Mechatroniker,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4332,76",2014,https://www.wko.at/content.Node/branchen/b/Mechatroniker/Startseite-Mechatroniker.html
"Landesgremium des Markt-, Straßen- und Wanderhandel","Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4366,44",2014,"https://www.wko.at/content.Node/branchen/k/Markt---Strassen--und-Wanderhandel/Startseite_-_Markt-,_Strassen-_und_Wanderhandel,_Landesgrem.html"
Landesgremium des Außenhandels,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4581,68",2014,https://www.wko.at/ktn/ah
"Fachgruppe der Kino-, Kultur- und Vergnügungsbetriebe","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,4584,2014,https://www.wko.at/content.Node/branchen/sbg/Kino---Kultur-und-Vergnuegungsbetriebe/Startseite---KinoKulturVergnuegungsbetriebe.html
Fachgruppe des Energiehandels,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4635,49",2014,"https://www.wko.at/content.Node/branchen/k/Energiehandel/Startseite_-_Energiehandel,_Fachgruppe.html"
Fachgruppe der Spediteure,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4733,06",2014,http://wko.at/spediteure
Fachgruppe der Gesundheitsbetriebe,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4770,69",2014,https://www.wko.at/content.Node/branchen/b/Gesundheitsbetriebe/Startseite---Gesundheitsbetriebe--Fachgruppe.html
Landesgremium des Außenhandels,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4806,31",2014,"https://www.wko.at/content.Node/branchen/vbg/Aussenhandel/Startseite_-_Aussenhandel,_Fachgruppe.html"
Landesinnung der Bestatter,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4806,31",2014,https://www.wko.at/content.Node/branchen/vbg/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
Fachgruppe der Seilbahnen,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4904,56",2014,"https://www.wko.at/content.Node/branchen/k/TransportVerkehr/Seilbahnen/Startseite_-_Seilbahnen,_Fachgruppe.html"
Landesinnung der Bestatter,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4911,05",2014,https://www.evolutionwko.at/Content.Node/branchen/b/Rauchfangkehrer-und-Bestatter/Bestatter/Startseite-Bestatter.html
"Landesgremium des Versand-, Internet- und allgemeinen Handels","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"4961,57",2014,"https://www.wko.at/Content.Node/branchen/b/Versand---Internet--und-allgemeiner-Handel/Startseite_-_Versand-,_Internet-_und_allgemeiner_Handel,_La.html"
Landesgremium des Agrarhandels,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,5048,2014,"https://www.wko.at/content.Node/branchen/sbg/Agrarhandels/Startseite_-_Agrarhandels,_Landesgremium.html"
Fachgruppe des Energiehandels,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5333,77",2014,http://wko.at/ooe/energiehandel
Fachgruppe des Papier- und Spielwarenhandels,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5333,77",2014,http://wko.at/vlbg/papierundspiel
Landesinnung der Gesundheitsberufe,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5333,77",2014,https://www.wko.at/content.Node/branchen/vbg/Gesundheitsberufe/Startseite-Gesundheitsberufe.html
Landesinnung der Kunsthandwerke,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5333,77",2014,https://www.wko.at/content.Node/branchen/vbg/Kunsthandwerke/Startseite-Kunsthandwerke.html
Landesgremium des Außenhandels,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,5499,2014,http://wko.at/stmk/aussenhandel
Landesinnung Holzbau,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5500,56",2014,https://www.wko.at/content.Node/branchen/b/Holzbau/Startseite-Holzbau.html
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,5614,2014,http://www.kachelofensbg.at
Landesinnung der Rauchfangkehrer,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5830,26",2014,http://wko.at//rauchfang
Fachgruppe der Gesundheitsbetriebe,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5861,22",2014,https://www.wko.at/content.Node/branchen/vbg/Gesundheitsbetriebe/Startseite---Gesundheitsbetriebe--Fachgruppe.html
"Landesgremium des Markt-, Straßen- und Wanderhandel","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5861,22",2014,http://wko.at/vlbg/marktfahrer
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5972,16",2014,https://www.wko.at/content.Node/branchen/b/Hafner--Platten--und-Fliesenleger-und-Keramiker/Startseite-Hafner-Platten-Fliesenleger-und-Keramiker.html
Landesinnung der Gesundheitsberufe,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"5989,01",2014,https://www.wko.at/content.Node/branchen/b/Gesundheitsberufe/Startseite-Gesundheitsberufe.html
Landesinnung der Bestatter,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,6145,2014,https://www.wko.at/Content.Node/branchen/sbg/Rauchfangkehrer-und-Bestatter/Bestatter/Startseite-Bestatter.html
"Landesinnung der Dachdecker, Glaser und Spengler","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6241,65",2014,https://www.wko.at/content.Node/branchen/b/Dachdecker-Glaser-und-Spengler/Startseite-Dachdecker-Glaser-und-Spengler.html
Landesgremium des Papier- und Spielwarenhandels,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6357,5",2014,http://wko.at/ktn/papierspiel
Landesgremium des Direktvertriebes,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6365,17",2014,"https://www.wko.at/Content.Node/branchen/b/Direktvertrieb/Startseite_-_Direktvertrieb,_Landesgremium.html"
Fachgruppe der Buch- und Medienwirtschaft,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6388,68",2014,http://wko.at/vlbg/buchhandel
"Fachgruppe der Garagen-, Tankstellen- und Servicestationsunternehmungen","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6388,68",2014,"https://www.wko.at/content.Node/branchen/vbg/TransportVerkehr/Garagen---Tankstellen--und-Servicestationsunternehmungen/Startseite_-_Garagen-,_Tankstellen-"
"Landesgremium des Juwelen-,Uhren-,Kunst-,Antiquitäten- und Briefmarkenhandels","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6388,68",2014,"https://www.wko.at/content.Node/branchen/vbg/Juwelen---Uhren---Kunst---Antiquitaeten--und-Briefmarkenhandel/Startseite_-_Juwelen-,_Uhren-,_Kunst-,_Antiquitaeten-_und_B.html"
Landesgremium des Agrarhandels,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6518,93",2014,http://wko.at/ktn/agrarhandel
Landesgremium der Handelsagenten,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6645,89",2014,"https://www.wko.at/content.Node/branchen/b/Handelsagenten/Startseite_-_Handelsagenten,_Landesgremium.html"
Landesinnung der Rauchfangkehrer,"Koschutastraße 4, 9020 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6734,18",2014,https://www.wko.at/content.Node/branchen/k/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
Landesgremium des Agrarhandels,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6916,13",2014,http://wko.at/vlbg/agrarhandel
"Landesgremium des Juwelen-,Uhren-,Kunst-,Antiquitäten- und Briefmarkenhandels","Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"6949,42",2014,http://wko.at/ktn/jukab
Landesgremium des Agrarhandels,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7207,33",2014,"https://www.wko.at/content.Node/branchen/b/Agrarhandels/Startseite_-_Agrarhandels,_Landesgremium.html"
Landesinnung der Kunsthandwerke,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7218,48",2014,https://www.wko.at/content.Node/branchen/k/Kunsthandwerke/Startseite-Kunsthandwerke.html
Fachgruppe der Buch- und Medienwirtschaft,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7272,31",2014,https://www.wko.at/Content.Node/branchen/k/sparte_iuc/Buch--und-Medienwirtschaft/Startseite---Buch--und-Medienwirtschaft--Fachgruppe.html
Landesinnung der Maler und Tapezierer,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7274,7",2014,https://www.wko.at/content.Node/branchen/b/Maler-und-Tapezierer/Startseite-Maler-und-Tapezierer.html
Fachgruppe Druck,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,7283,2014,http://wko.at/sbg/druck
"Landesgremium des Versand-, Internet- und allgemeinen Handels","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,7288,2014,"https://www.wko.at/Content.Node/branchen/sbg/Versand---Internet--und-allgemeiner-Handel/Startseite_-_Versand-,_Internet-_und_allgemeiner_Handel,_La.html"
Landesinnung der Gesundheitsberufe,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7326,11",2014,https://www.wko.at/content.Node/branchen/k/Gesundheitsberufe/Startseite-Gesundheitsberufe.html
Landesgremium des Außenhandels,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7359,12",2014,"https://www.wko.at/Content.Node/branchen/t/Aussenhandel/Startseite_-_Aussenhandel,_Landesgremium.html"
Landesinnung der Tischler und Holzgestaltende Gewerbe,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7364,53",2014,https://www.wko.at/content.Node/branchen/b/Tischler-und-Holzgestaltende-Gewerbe/Startseite-Tischler-und-Holzgestaltende-Gewerbe.html
Fachgruppe der Reisebüros,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7443,58",2014,http://reisebueros.wkv.at
Landesinnung der Berufsfotografen,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7443,58",2014,https://www.wko.at/Content.Node/branchen/vbg/Berufsfotografen/Startseite-Berufsfotografen.html
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7443,58",2014,https://www.wko.at/content.Node/branchen/vbg/Hafner--Platten--und-Fliesenleger-und-Keramiker/Startseite-Hafner-Platten-Fliesenleger-und-Keramiker.html
Landesinnung der Rauchfangkehrer,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7443,58",2014,https://www.wko.at/content.Node/branchen/vbg/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
"Landesinnung der Chemische Gewerbe u.Denkmal-,Fassaden- u.Gebäudereiniger","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7544,19",2014,https://www.wko.at/content.Node/branchen/b/Chemische-Gewerbe-und-der-Denkmal-Fassaden-und-Gebaeudereiniger/Startseite-Chemischen-Gewerbe-Denkmal-Fassaden.html
"Landesgremium des Markt-, Straßen- und Wanderhandel","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,7552,2014,"https://www.wko.at/content.Node/branchen/sbg/Markt---Strassen--und-Wanderhandel/Startseite_-_Markt-,_Strassen-_und_Wanderhandel,_Landesgrem.html"
"Landesgremium des Juwelen-,Uhren-,Kunst-,Antiquitäten- und Briefmarkenhandels","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7665,65",2014,http://wko.at//uhrenschmuckhandel
"Fachgruppe der Garagen-, Tankstellen- und Servicestationsunternehmungen","Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"7810,42",2014,"https://www.wko.at/Content.Node/branchen/k/TransportVerkehr/Garagen---Tankstellen--und-Servicestationsunternehmungen/Startseite_-_Garagen-,_Tankstellen-"
"Landesgremium des Juwelen-,Uhren-,Kunst-,Antiquitäten- und Briefmarkenhandels","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,7862,2014,"https://www.wko.at/content.Node/branchen/sbg/Juwelen---Uhren---Kunst---Antiquitaeten--und-Briefmarkenhandel/Startseite_-_Juwelen-,_Uhren-,_Kunst-,_Antiquitaeten-_und_B.html"
Fachgruppe Druck,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8025,66",2014,https://www.wko.at/content.Node/branchen/k/sparte_iuc/Druck/Startseite---Druck--Fachgruppe.html
"Fachgruppe der Kino-, Kultur- und Vergnügungsbetriebe","Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8068,26",2014,http://wko.at/stmk/kkv
Landesinnung der Berufsfotografen,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8079,49",2014,http://wko.at/ktn/fotografen
Landesgremium des Papier- und Spielwarenhandels,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,8330,2014,"https://www.wko.at/Content.Node/branchen/sbg/Papier--und-Spielwarenhandel/Startseite_-_Papier-_und_Spielwarenhandel,_Landesgremium.html"
Landesinnung der Rauchfangkehrer,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,8350,2014,http://www.rauchfangkehrer-innung.at
Landesinnung der Bestatter,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8432,73",2014,https://www.wko.at/content.Node/branchen/stmk/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
Landesgremium des Weinhandels,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8491,05",2014,http://wko.at/stmk/weinwirtschaft
Landesinnung der Gärtner und Floristen,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,8657,2014,https://www.wko.at/Content.Node/branchen/t/Gaertner-und-Floristen/Kontaktstartseite_Gaertner_und_Floristen.html
Fachgruppe des Energiehandels,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,8687,2014,http://wko.at/stmk/energiehandel
Fachgruppe der Versicherungsmakler und Berater in Versicherungsangelegenheiten,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,8702,2014,http://wko.at/sbg/versicherungsmakler
Landesgremium des Weinhandels,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8779,36",2014,"https://www.wko.at/Content.Node/branchen/b/Weinhandel/Startseite_-_Weinhandel,_Landesgremium.html"
Landesinnung der Mode und Bekleidungstechnik,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8832,86",2014,https://www.wko.at/content.Node/branchen/k/Mode-und-Bekleidungstechnik/Startseite-Mode-und-Bekleidungstechnik.html
Landesinnung der Kunsthandwerke,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8964,52",2014,http://wko.at//kunsthandwerk
Landesinnung der Lebensmittelgewerbe,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8964,52",2014,http://wko.at//lebensmittelgewerbe
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"8986,17",2014,http://wko.at//hafner
Fachgruppe der Versicherungsmakler und Berater in Versicherungsangelegenheiten,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9025,95",2014,https://www.wko.at/content.Node/branchen/vbg/sparte_iuc/Versicherungsmakler-und-Berater-in-Versicherungsangelegenheiten/Startseite---Versicherungsmakler.html
Fachgruppe Druck,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9025,95",2014,https://www.wko.at/content.Node/branchen/vbg/sparte_iuc/Druck/Startseite---Druck--Fachgruppe.html
Fachgruppe Entsorgungs- und Ressourcenmanagement,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9025,95",2014,https://www.wko.at/Content.Node/branchen/vbg/sparte_iuc/Abfall--und-Abwasserwirtschaft/Startseite---Abfall--und-Abwasserwirtschaft--Fachgruppe.html
